"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
372,"100","UNI62","No","Year 2","3","Psychological and Behavioural Sciences","Female","20","Non-UKRN",2,1,2,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,16,1,10,1.25,8,0,1,1,1,1,1,1,""
503,"100","UNI06","No","Year 2","3","Psychology","Female","23","Non-UKRN",2,2,1,1,0,1,1,-1,-1,1,1,1,1,0,0,-2,-2,-1,1,0,-1,-2,-2,2,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,4,0.25,-2,-0.25,5,3,1,0,1,0,0,1,""
542,"100","UNI06","Yes","Year 2","4","BSc Psychology","Female","19","Non-UKRN",2,1,-1,1,1,1,1,1,1,1,0,0,2,1,-1,-1,0,1,0,1,0,-1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,8,0.5,4,0.5,6,2,0,NA,NA,0,0,1,""
256,"100","UNI73","Yes","Year 2","4","Psychology and criminology with a year in industry","Woman","21","Non-UKRN",2,2,2,2,2,0,1,-1,1,0,1,2,2,1,-1,-1,-1,2,2,1,1,-1,1,2,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,12,0.75,9,1.125,6,2,1,1,1,0,0,1,""
555,"100","UNI06","Yes","Year 1","4","Psychology","Female","20","Non-UKRN",2,2,2,1,2,0,0,2,0,2,-1,1,1,1,-2,-1,-2,0,1,-1,-1,-1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,8,0.5,0,0,5,3,1,1,1,0,0,1,""
7,"100","UKRN01","Other (Please specify)","Year 1","3","Psychology Bsc","Female","19","UKRN",2,2,2,1,1,0,1,0,-1,0,-1,1,2,1,0,-1,0,1,1,-1,0,1,1,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0.5,5,0.625,5,0,1,0,0,1,0,0,""
77,"100","UKRN08","Yes","Year 2","4","Psychology","Female","21","UKRN",2,1,1,1,-1,1,1,2,1,1,-2,-1,2,1,-1,-1,-1,1,-1,1,1,-2,-1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,5,0.3125,1,0.125,4,3,1,1,1,0,0,1,""
609,"100","UNI06","No","Year 1","3","Psychology ","Female ","20","Non-UKRN",2,1,1,-1,-2,-2,1,2,-1,1,-2,2,2,1,2,-1,-1,-1,-1,1,-1,-2,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.1875,0,0,2,0,1,1,NA,0,0,1,""
508,"100","UNI06","Yes","Year 1","3","Psychology and business ","Male ","20","Non-UKRN",2,1,2,2,2,2,0,2,0,2,-1,1,1,1,-2,-1,-2,2,2,2,-1,-2,-2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,10,0.625,1,0.125,2,4,1,1,1,0,1,1,""
229,"100","UKRN01","No","Final Year","3","Psychology BSc","Female","21","UKRN",2,1,1,1,1,0,1,1,1,1,-1,1,1,1,0,-1,-1,1,1,2,1,-1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0.5,7,0.875,5,1,1,1,1,0,1,1,""
