"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
171,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,1,1,1,0,1,1,1,0,6,1,0,1,0,0,1
172,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","female","UKRN",1,1,0,1,0,0,1,1,1,5,1,1,1,0,0,1
174,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Male","UKRN",1,1,1,1,0,0,1,0,1,5,1,1,1,0,0,1
175,"UKRN01","Full-time","Yes","Year 1",3,"Psychology BSc","Female","UKRN",1,1,0,1,0,0,1,0,1,4,1,1,1,1,1,1
178,"UKRN01","Full-time","Yes","Year 2",3,"BSc Psychology","Female","UKRN",1,0,1,1,0,1,0,0,1,4,1,1,0,1,1,1
179,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","Female","UKRN",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
180,"UKRN01","Full-time","Yes","Year 1",3,"Psychology","Female","UKRN",1,1,1,1,0,0,1,0,1,5,0,NA,9999,1,0,1
181,"UKRN01","Full-time","No","Year 2",3,"Psychology ","Female","UKRN",1,1,1,0,1,1,0,1,0,5,1,1,0,0,1,1
182,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,0,1,0,0,1,0,1,4,1,0,1,0,0,1
183,"UKRN01","Full-time","Yes","Year 1",4,"BCs psychology ","female","UKRN",1,0,0,0,1,1,0,0,0,2,1,0,0,1,0,1
184,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,0,1,0,0,0,1,1,4,1,1,1,1,1,1
185,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","female","UKRN",1,0,1,1,0,0,1,0,1,4,1,1,1,0,0,1
186,"UKRN01","Full-time","Yes","Year 1",4,"Psychology (BSc)","Male","UKRN",1,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1
187,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","female","UKRN",1,1,1,1,1,0,1,1,1,7,1,0,1,0,0,1
188,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1
189,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","female","UKRN",1,0,0,1,0,0,1,1,1,4,0,NA,9999,1,0,1
190,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,1,0,1
191,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,0,0,1
192,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,0,1,1,1,6,1,1,1,0,0,1
194,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","Female","UKRN",1,0,0,1,1,0,0,0,1,3,0,NA,9999,0,0,1
195,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,0,0,1,0,0,0,1,1,3,1,0,0,0,0,1
197,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bcs","female","UKRN",1,1,1,1,1,0,1,0,1,6,0,NA,9999,0,0,1
198,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","Female","UKRN",1,1,1,0,0,1,1,1,0,5,0,NA,9999,0,0,1
199,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","female","UKRN",1,1,1,0,1,1,0,1,0,5,1,1,1,0,0,1
200,"UKRN01","Full-time","Yes","Year 2",4,"psychology","female","UKRN",1,1,0,1,0,0,0,0,1,3,0,NA,9999,0,0,1
201,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Male","UKRN",1,0,1,0,1,1,1,0,0,4,1,1,1,1,1,1
202,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","female","UKRN",1,1,0,1,0,0,0,0,1,3,0,NA,9999,1,0,1
203,"UKRN01","Full-time","No","Year 1",3,"Psychology Bsc","Female","UKRN",1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,1
204,"UKRN01","Full-time","No","Year 1",3,"Psychology ","female","UKRN",1,1,1,1,1,0,0,0,1,5,0,NA,9999,0,0,1
205,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Female ","UKRN",1,1,1,1,0,1,1,1,0,6,1,0,0,1,0,1
206,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology with placement","Female","UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,9999,0,0,1
207,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,0,0,1
208,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,0,0,1,1,0,1,1,0,4,1,1,1,0,0,1
209,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Male","UKRN",1,1,1,1,1,0,1,1,1,7,1,1,1,0,0,1
210,"UKRN01","Full-time","No","Year 1",3,"Psychology ","Female","UKRN",1,1,1,1,0,0,0,0,1,4,0,NA,9999,0,0,1
211,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,1,0,0,0,0,1,1,4,1,1,1,0,1,1
212,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","female","UKRN",1,1,1,1,1,1,1,1,0,7,0,NA,9999,0,0,1
213,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc (Hons)","Female","UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,9999,0,0,1
214,"UKRN01","Full-time","No","Year 2",3,"psychology ","female ","UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,9999,1,1,1
215,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Male ","UKRN",1,1,1,1,0,0,1,0,1,5,0,NA,9999,0,0,1
216,"UKRN01","Full-time","No","Year 1",3,"psychology","female","UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,9999,0,0,1
217,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,1,1,1,0,0,0,0,1,4,0,NA,9999,0,0,1
218,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,1,0,0,1,5,1,1,1,0,1,1
219,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,0,0,1,0,0,0,1,1,3,1,1,0,0,0,1
220,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology ","Female","UKRN",1,1,1,1,1,1,1,0,0,6,1,0,0,0,0,1
221,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
223,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,0,1,0,0,1,0,1,3,0,NA,9999,0,0,1
224,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Male","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,0,1,1
225,"UKRN01","Full-time","No","Year 2",3,"Psychology BSc","Female","UKRN",1,1,1,1,0,0,1,1,1,6,0,NA,9999,0,0,1
226,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","f","UKRN",1,0,0,0,0,1,1,0,0,2,0,NA,9999,0,0,1
227,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","female","UKRN",1,1,0,0,1,0,0,0,0,2,0,NA,9999,1,0,1
228,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,9999,0,0,1
229,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female ","UKRN",1,0,1,1,1,1,0,0,0,4,0,NA,9999,0,0,1
231,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology ","Female","UKRN",1,0,0,0,1,0,1,0,1,3,0,NA,9999,0,0,1
233,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","female","UKRN",1,1,1,0,1,1,0,0,0,4,1,1,1,0,0,1
234,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,0,0,1,0,0,1,0,1,3,1,1,0,0,0,1
235,"UKRN01","Full-time","No","Year 2",3,"Psychology","female","UKRN",1,1,1,1,1,0,1,1,1,7,0,NA,9999,1,0,1
237,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","Female ","UKRN",1,1,0,1,1,0,1,0,1,5,0,NA,9999,0,0,1
238,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,0,1,1,1,0,1,1,6,1,1,1,1,1,1
239,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Male","UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
240,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,1,0,1,1,1,0,1,1,6,0,NA,9999,0,0,1
241,"UKRN01","Full-time","Yes","Year 1",4,"psychology ","female ","UKRN",1,1,1,1,1,1,1,1,0,7,0,NA,9999,0,0,1
242,"UKRN01","Full-time","Yes","Year 2",3,"psychology Bsc","female","UKRN",1,0,0,0,1,1,1,1,0,4,1,0,0,0,0,1
243,"UKRN01","Full-time","No","Year 1",3,"Psychology BSc","Female","UKRN",1,1,1,1,1,0,1,0,1,6,1,0,1,0,0,1
245,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","female","UKRN",1,0,0,0,0,0,0,0,0,0,0,NA,9999,0,0,1
246,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,9999,0,0,1
249,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Male","UKRN",1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
250,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,1,1,1,1,1,0,1,7,1,0,0,1,0,1
252,"UKRN01","Full-time","Yes","Year 2",3,"Psychology BSc ","Female","UKRN",1,0,0,0,0,1,1,1,0,3,0,NA,9999,0,0,1
253,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,0,0,1,1,1,1,0,1,5,0,NA,9999,0,0,1
255,"UKRN01","Full-time","No","Year 1",3,"Psychology Bsc (Hons)","Female","UKRN",1,0,0,1,1,0,1,1,1,5,0,NA,9999,0,0,1
257,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,9999,0,0,1
258,"UKRN01","Full-time","No","Year 2",2,"Psychology BSc","Female","UKRN",1,1,1,0,1,1,0,0,0,4,1,1,1,0,1,1
261,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,1,1,0,1,1,1,1,7,1,0,0,0,0,1
