"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
208,"UNI79","","","Year 2","","","","2","Non-UKRN",3,0,0,1,1,0,1,0,1,4,1,1,0,0,0,1
209,"UNI79","","","Final Year","","","","2","Non-UKRN",3,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,1
211,"UNI79","","","Year 2","","","","2","Non-UKRN",3,1,0,1,0,0,1,0,1,4,0,0,NA,0,0,1
213,"UNI79","","","Final Year","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
215,"UNI19","","","Year 1","","","","1","Non-UKRN",3,0,1,0,0,0,1,0,1,3,1,0,0,0,0,1
216,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
217,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,0,0,0,1,5,1,1,0,0,0,1
218,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
219,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,0,1,1,0,0,0,1,4,1,1,1,0,0,1
220,"UNI19","","","Year 1","","","","2","Non-UKRN",3,0,1,1,0,1,1,1,1,6,0,0,NA,0,0,1
221,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
222,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
223,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,0,0,1,0,1,5,1,1,0,0,0,1
224,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,0,1,1,0,1,6,0,0,NA,0,0,1
226,"UNI19","","","Year 1","","","","3","Non-UKRN",3,1,1,1,1,0,1,1,1,7,1,1,0,1,1,1
227,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,0,0,0,0,1,4,0,0,NA,1,0,1
228,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,0,0,1,0,1,5,1,0,1,0,0,1
229,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,0,1,0,1,1,0,0,4,0,0,NA,0,0,1
231,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
232,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
233,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,1,0,1,0,1,6,0,0,NA,1,1,1
234,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
235,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
236,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,0,1,7,1,1,0,0,0,1
237,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
240,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
241,"UNI19","","","Year 1","","","","2","Non-UKRN",3,0,0,1,1,0,1,0,1,4,1,1,1,0,0,1
242,"UNI19","","","Year 1","","","","1","Non-UKRN",3,0,1,1,1,1,0,1,0,5,0,0,NA,0,0,1
243,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,1,0,1
244,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,0,0,0,0,0,0,1,2,0,0,NA,0,0,1
245,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,0,1,7,1,1,1,1,0,1
246,"UNI19","","","Year 1","","","","1","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
247,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,0,1,1,1,1,0,1,6,1,0,0,0,0,1
248,"UNI19","","","Year 1","","","","2","Non-UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
267,"UKRN06","","","Year 1","","","","2","UKRN",3,0,0,1,0,0,0,0,1,2,0,0,NA,0,0,1
268,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
269,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1
270,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
271,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
272,"UKRN06","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,1,1,1
273,"UKRN06","","","Year 2","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
274,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
275,"UKRN06","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,1,0,1,4,1,0,0,1,1,1
276,"UKRN06","","","Year 1","","","","2","UKRN",3,1,0,0,0,0,0,1,1,3,1,1,0,0,0,1
277,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
278,"UKRN06","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,1,0,0,3,0,0,NA,0,0,1
279,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
280,"UKRN06","","","Year 1","","","","2","UKRN",3,1,0,1,0,1,0,0,1,4,0,0,NA,0,0,1
281,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,0,0,1,0,1,5,1,0,1,1,0,1
282,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,0,0,1,1,1,6,1,1,1,0,1,1
283,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
284,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,1,1
285,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
286,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,0,0,1,0,1,5,0,0,NA,0,1,1
287,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,1,1,1,7,0,0,NA,1,1,1
288,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,0,1,1,6,1,1,1,0,1,1
289,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
290,"UKRN06","","","Year 1","","","","2","UKRN",3,0,1,1,0,0,1,1,1,5,1,1,0,0,0,1
291,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1
292,"UKRN06","","","Year 1","","","","2","UKRN",3,0,0,1,0,0,1,0,0,2,0,0,NA,0,0,1
293,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,0,1,1
294,"UKRN06","","","Year 1","","","","2","UKRN",3,0,0,1,0,0,1,0,1,3,1,1,0,0,0,1
295,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,1,1,1,7,1,1,1,0,0,1
296,"UKRN06","","","Year 1","","","","2","UKRN",3,1,0,1,1,0,1,0,1,5,1,0,0,0,0,1
297,"UKRN06","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
298,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
299,"UKRN06","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,0,0,1,3,1,1,0,0,0,1
300,"UKRN06","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,0,0,1
301,"UKRN06","","","Year 2","","","","2","UKRN",3,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1
