"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",40,"UNI01","Full-time","No","Year 1","3","Bsc Psychology (Hons)","Yes","Female","Non-UKRN",1,3,1,1,1,0,3,3,1,13,13,1,1,1,0,0,1
"40",41,"UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female ","Non-UKRN",1,3,3,3,1,0,1,3,2,16,16,1,0,1,0,0,1
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",44,"UNI01","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,4,3,3,2,2,0,3,3,20,20,1,1,1,0,0,1
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",46,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Female","UKRN",1,4,3,3,3,3,3,4,3,26,26,1,1,1,1,0,1
"45",48,"UKRN07","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","UKRN",1,4,4,3,1,1,2,3,3,21,21,1,1,1,0,0,1
"46",49,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Male","UKRN",1,4,4,4,1,3,4,3,4,27,27,1,1,1,0,0,1
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",51,"UKRN07","Full-time","No","Final Year","3","Psychology with Neuroscience","Yes","Female","UKRN",1,3,3,4,3,3,3,3,3,25,25,1,1,1,1,1,1
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
