"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
815,"UNI68","Full-time","No","Final Year","3","Psychology with Neuroscience","Yes","Female","Non-UKRN",1,0,0,1,0,0,1,0,1,3,0,NA,NA,0,0,1
816,"UNI68","Full-time","No","Year 2","4","Psychology with economics","No","Female","Non-UKRN",1,0,0,0,0,0,0,1,0,1,0,NA,NA,0,0,1
817,"UNI68","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,0,1,5,0,NA,NA,0,0,1
818,"UKRN08","Full-time","Yes","Placement Year","4","Psychology","No","Female ","UKRN",1,1,1,1,1,0,0,1,1,6,1,1,1,1,1,1
819,"UNI68","Full-time","No","Year 2","3","Psychology with criminology ","Yes","Female ","Non-UKRN",1,1,1,1,0,1,1,1,1,7,0,NA,NA,0,0,1
820,"UNI68","Full-time","No","Final Year","4","Psychology and criminology ","Yes","Female","Non-UKRN",1,1,1,1,1,0,1,1,1,7,1,1,0,0,0,1
821,"UNI68","Full-time","No","Year 1","3","Psychology BSc ","No","Male (ftm)","Non-UKRN",1,1,1,1,1,0,0,0,1,5,1,1,1,0,0,1
822,"UNI68","Full-time","No","Final Year","4","psychology with clinical approaches ","No","Male","Non-UKRN",1,1,0,1,0,0,1,1,1,5,0,NA,NA,0,0,1
823,"UNI68","Full-time","Yes","Year 2","3","psychology with criminology","Yes","Female","Non-UKRN",1,1,1,0,1,1,1,1,0,6,0,NA,NA,0,0,1
824,"UNI68","Full-time","No","Final Year","3","Psychology with Clinical Approaches","No","CisFemale","Non-UKRN",1,1,1,1,1,0,1,1,1,7,0,NA,NA,1,0,1
825,"UNI68","Full-time","No","Year 2","3","Bsc Psychology","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
826,"UKRN08","Full-time","Yes","Year 2","3","Psychology","No","Female ","UKRN",1,1,0,1,1,0,0,0,1,4,1,1,1,0,0,1
827,"UKRN08","Full-time","Yes","Placement Year","3","Psychology ","Yes","Female ","UKRN",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
828,"UNI68","Full-time","Yes","Final Year","4","Psychology (with a professional placement year) ","Yes","Female ","Non-UKRN",1,0,1,1,1,0,1,0,1,5,1,1,1,0,0,1
829,"UNI68","Full-time","No","Year 2","3","Psychology","Yes","Female","Non-UKRN",1,0,0,1,0,1,0,0,1,3,1,0,1,0,0,1
