"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Perception_Score_Total","Perception_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Perception_Completed"
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",79,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,2,1,-2,-1,1,-1,-1,-1,-2,1,1,1,-1,0,0,-1,-1,1,1,1,0,0,1
"77",80,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,1,1,0,0,0,0,1,1,0,0,1,1,0,-1,-1,-1,3,3,1,0,0,0,0,1
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",84,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","Female","UKRN",1,1,1,0,0,0,-1,1,0,1,1,1,1,1,-1,0,-1,5,5,1,1,0,0,1,1
"82",85,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,2,2,1,1,1,-1,-1,-1,1,-2,2,1,2,0,0,-1,7,7,1,1,1,0,0,1
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",87,"UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","Female","UKRN",1,2,1,-1,-2,0,0,-2,2,-1,-2,1,1,2,2,-1,-1,1,1,1,0,0,0,0,1
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",90,"UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,2,2,2,1,1,1,1,0,1,1,0,2,1,1,-1,0,15,15,1,1,0,0,1,1
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",93,"UKRN01","Full-time","Yes","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,1,1,1,0,-1,0,-1,-1,-1,-2,1,2,1,2,0,-1,2,2,1,0,1,0,0,1
"91",94,"UKRN01","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,2,2,0,0,-1,0,1,0,2,0,1,2,0,1,-1,-2,7,7,1,1,1,0,0,1
"92",95,"UKRN01","Full-time","Yes","Year 1","4","Psychology with placement year","Yes","Female","UKRN",1,1,2,2,2,0,-1,1,1,-1,-1,-1,2,1,2,-1,-1,8,8,1,1,0,0,0,1
"93",96,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,0,-2,0,-1,1,-1,0,1,2,-1,1,-1,0,-1,0,0,1,1,0,0,0,1
"94",97,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BsC","Yes","Female ","UKRN",1,2,1,0,-1,2,1,2,2,1,-1,1,2,-1,0,0,1,12,12,1,1,1,0,0,1
"95",98,"UKRN01","Full-time","Yes","Placement Year","4","Psychology ","Yes","Female","UKRN",1,-1,2,-2,1,0,0,2,1,2,-1,2,2,1,2,-2,-2,7,7,1,1,1,0,0,1
"96",99,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,-1,0,1,1,1,-1,0,1,1,1,1,1,1,-1,1,-1,6,6,1,0,1,0,0,1
"97",100,"UKRN01","Full-time","No","Year 2","3","Psychology","No","Male","UKRN",1,2,2,1,2,1,1,1,-1,1,2,1,2,1,1,-1,-1,15,15,1,1,0,1,1,1
"98",101,"UKRN01","Full-time","No","Year 2","3","Psychology BSc","Yes","Male","UKRN",1,1,1,2,1,1,0,2,1,1,1,2,2,0,-1,0,-2,12,12,1,1,1,0,0,1
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",104,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,2,2,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,8,8,1,1,0,0,0,1
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",107,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,1,0,2,1,1,1,2,1,2,0,1,1,1,-1,0,0,13,13,1,1,1,1,1,1
"105",108,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female ","UKRN",1,2,0,1,1,-1,-1,-1,-1,2,1,-1,2,1,1,-1,-1,4,4,1,1,1,0,0,1
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
