"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
116,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
117,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
118,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
119,"UKRN01","Full-time","Other (Please specify)","Year 1","3","Psychology","No","Female","UKRN",1,1,1,NA,0,0,0,1,1,0,1,1,1
120,"UKRN01","Full-time","Yes","Year 1","4","Bsc Psychology","No","female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
121,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
122,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,1,1,1,1,0,1,1,1,1,1,1,1
123,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
124,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
125,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
126,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
127,"UKRN01","Full-time","Yes","Year 1","3","BSc psychology","No","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
128,"UKRN01","Full-time","Yes","Year 1","4","Bsc Psychology","No","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
129,"UKRN01","Full-time","No","Year 1","3","BSc Psychology","No","Female","UKRN",1,0,NA,NA,1,0,0,1,0,0,1,1,1
130,"UKRN01","Full-time","Yes","Year 1","4","BSc (Hons) Psychology","Yes","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
131,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
132,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
133,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
134,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
135,"UKRN01","Full-time","Yes","Year 1","4","BSc psychology","No","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
137,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
